artifact__title,artifact__title_english,artifact__summary,artifact__identifier,artifact__type,artifact__type_label,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__img,artifact__doi,artifact__publication_place,artifact__publisher,artifact__rights,artifact__rights_holder,artifact__rights_uri,artifact__tags,artifact__copyright,artifact__props__Example_Label,artifact__hidden_props__Example_Label,artifact__related_urls,artifact__isbn_online,artifact__isbn_print,artifact__issn_online,artifact__issn_print,artifact__series,artifact__people,artifact__people__author,artifact__people__editor,artifact__access_type,artifact__access_orgs,artifact__search_props__Example_Label,artifact__country,artifact__high_res_thumbnail,artifact__royalty_to_id,artifact__readable,collection__uuid,file__content_type,file__name,file__media_type,file__uuid,file__url,file__language,file__fulltext_s3_url,file__fulltext_paginated_s3_url,file__toc,file__viewer_settings,file__size,file__pages,file__key_terms,file__file_hash
"Technology in Schools. Suggestions, Tools and Guidelines for Assessing Technology in Elementary and Secondary Education",,"This guide was written by the National Forum on Education Statistics under NCES's Cooperative Education Statistics System.  Directed toward state and local education agencies, it describes how to measure technology use by examining planning and policies; finance; equipment and infrastructure; technology applications; maintenance and support; professional development; and technology integration.",,guide,,2002-11-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003313,,,,NCES,,,,Handbooks|Technology Use  in Education,,,,,,,,,,,Forum on Education Statistics,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2003/tech_schools/,,,,,,,,,
Programs for Adults in Public Library Outlets,,"This report presents data on programs for adults in public library outlets. NCES used its Fast Response Survey System (FRSS) to collect data from public library outlets in fall 2000 about three areas of interest for adult programming: adult literacy programs, programs for adult lifelong learning, and Internet access for adult independent use. Programs were defined to mean planned activities for groups or individuals that are offered by libraries to provide information, instruction, or cultural enrichment.     This report provides information about the extent to which public library outlets offer adult literacy programs, the types of literacy programs offered (adult basic literacy skills, pre-GED, GED, family literacy, and English as a second language instruction for adults), groups for which literacy programs are specifically offered, and reasons that library outlets do not offer adult literacy programs.     Information is also provided about nine types of adult lifelong learning programs offered by public library outlets (book or film discussion, cultural performances, recreational activities, employment and career guidance, college/continuing education guidance, financial planning/investment information, parenting skills, citizenship preparation, and computer/Internet instruction), groups for which adult lifelong learning programs are specifically offered, and barriers to providing lifelong learning programs for adults with learning and/or physical disabilities.     The report also presents information about the extent to which public library outlets provide access to the Internet to adults for their independent use, and barriers to providing such access.",,statistical-publication,,2002-11-12,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003010,,,,NCES,,,,Adult Education|Adult Literacy|Internet Access in Libraries,,,,,,,,,,,Laurie Lewis|Elizabeth Farris,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/surveys/frss/publications/2003010/,,,,,,,,,
"Directory of Public Elementary and Secondary Education Agencies,  2000-01",,"The directory provides a current listing of all reported public elementary and secondary education agencies in the United States as well as the outlying areas, DOD Dependents Schools and Bureau of Indian Affairs Schools of the U.S.  It includes summary tables showing an overview of elementary and secondary agency patterns in relation to agency location (state), district size, grade span, and student population.",,directory,,2002-11-13,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003310,,,,NCES,,,,Public Elementary and Secondary Agencies,,,,,,,,,,,Lena McDowell|John Sietsema,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2003/2003310.pdf,,,,,,,,,
Defining and Assessing Learning: Exploring Competency-Based Initiatives,,"Legislators, employers, accrediting agencies, and others are often more interested in what skills and abilities students have, than in the number of credit hours the students have accumulated.  This report is a hands-on resource that introduces basic information about the construction and use of competency assessments and includes the results of eight case studies of competency-based programs. A set of operating principles to guide best practices in this field is gleaned from these case studies. The publication also relays important information about the theory of competency-based education and addresses issues involved in compiling, analyzing, maintaining, and reporting data about students’ competencies.",,report,,2002-11-15,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002159,,,,NCES,,,,Postsecondary Education|Student Assessment|Student Outcomes,,,,,,,,,,,Elizabeth Jones|Richard Voorhees|with Karen Paulson,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2002/2002159.pdf,,,,,,,,,
"Short-Term Enrollment in Postsecondary Education: Student Background and Institutional Differences in Reasons for Early Departure, 1996–98",,"Using the 1996–98 Beginning Postsecondary Students Longitudinal Study, this report describes short-term enrollment in postsecondary education: departure within three years of students’ first entry into postsecondary education without earning a credential and without returning.  The analyses include exploration of factors associated with departure and the reasons students themselves gave for departure among students who began at public 4-year, private not-for-profit 4-year, and public 2-year institutions.",,statistical-publication,,2002-11-21,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003153,,,,NCES,,,,Postsecondary Education|outcomes|persistence and attainment,,,,,,,,,,,Ellen M. Bradburn,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/das/epubs/2003153/,,,,,,,,,
Defining and Assessing Learning: Exploring Competency-Based Initiatives.,,"This brochure announces the release of the report, Defining and Assessing Learning: Exploring Competency-Based Initiatives.  The ""CBI"" report is a hands-on resource that introduces basic information about the construction and use of competency assessments in postsecondary education and other learning environments. 

The report can be found at: http://nces.ed.gov/pubsearch/pubsinfo.asp?pubid=2002159",,brochure,,2002-11-22,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002175,,,,NCES,,,,Higher Education|Postsecondary Education|Student Assessment|Student Outcomes,,,,,,,,,,,Elizabeth Jones|Richard Voorhees|with Karen Paulson,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2002/2002175.pdf,,,,,,,,,
Descriptive Summary of 1995-96 Beginning Postsecondary Students: Six Years Later,,"This report describes the enrollment, persistence, and degree attainment of students who began postsecondary education for the first time in the 1995–96 academic year. It covers the experiences of these first-time beginners over a period of six academic years, from 1995–96 to 2000–01, and provides information about the rates at which students completed degrees, transferred to other institutions, and left postsecondary education without attaining degrees. It provides direct comparisons of the institutional retention and completion rates of undergraduates at the first institution attended versus the persistence and attainment rates of the same group of students anywhere in postsecondary education after six years. Separate tables are presented for students who began at public 2-year, public 4-year, and private not-for-profit 4-year institutions, including information on persistence, transfers, stopouts, and degree attainment at the end of each of the six years. The report is based on the 1996/01 Beginning Postsecondary Students Longitudinal Study (BPS:96/01), a National Center for Education Statistics (NCES) survey that provides data describing a nationally representative sample of first-time students who entered postsecondary education during the 1995–96 academic year.",,statistical-publication,,2002-12-16,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003151,,,,NCES,,,,Persistence to Completion of Students in Higher Education|Postsecondary Education|outcomes|persistence and attainment,,,,,,,,,,,Lutz Berkner|Shirley He|Emily Forrest Cataldi,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/das/epubs/2003151/,,,,,,,,,
Schools' Use of Assessments for Kindergarten Entrance and Placement: 1998-99,,"This report uses data from the base-year (kindergarten) of the Early Childhood Longitudinal Study, Kindergarten Class of 1998-99 to describe the use of entrance or placement tests prior to kindergarten by schools in the U.S.  It examines the different ways that schools use the information from these tests.  It describes schools use of entrance and placement tests by public and private schools, and by schools with different concentrations of low-income children, different grade levels taught, and different numbers of children enrolled.",,statistical-publication,,2003-03-24,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003004,,,,NCES,,,,Early Childhood Education|Kindergarten|Private Schools|Public Schools|elementary|Readiness for School|Student Assessment,,,,,,,,,,,Naomi Prakash|Jerry West|Kristin Denton,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2003/2003004.pdf,,,,,,,,,
The 2003 National Assessment of Adult Literacy (NAAL),,This brochure provides a comparison of the main NAAL and its new instruments. The brochure also provides a brief description of the NAAL Background Questionnaire.,,brochure,,2003-03-25,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003495rev,,,,NCES,,,,Adult Literacy,,,,,,,,,,,Sheida White,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2003/2003495rev.pdf,,,,,,,,,
Highlights From the TIMSS 1999 Video Study of Eighth-Grade Mathematics Teaching,,"The Third International Mathematics and Science Study (TIMSS) 1999 Video Study examines classroom teaching practices through in-depth analysis of videotapes of eighth-grade mathematics lessons. More ambitious than the earlier TIMSS 1995 Video Study, the TIMSS 1999 Video Study provides rich descriptions of mathematics teaching as it is actually experienced by eighth-grade students in seven countries. In addition to the United States, participating countries include Australia, the Czech Republic, Hong Kong SAR, Japan, the Netherlands, and Switzerland. Students in these countries were generally among the top-performing students on the TIMSS 1995 mathematics assessment and, in particular, outperformed their U.S. counterparts. This document presents highlights of results, based on the full report (NCES 2003-013)",,brochure,,2003-03-26,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003011,,,,NCES,,,,Eighth-Graders|International Comparisons|Mathematics|Teachers|instructional practices of|Teaching Practices,,,,,,,,,,,J. Hiebert|R. Gallimore|H. Garnier|K. Bogard Givvin|H. Hollingsworth|J. Jacobs|A. M.Y. Chui|D. Wearne|M. Smith|N. Kersting|A. Manaster|E. Tseng|W. Etterbeek|C. Manaster|P. Gonzales|J. Stigler,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2003/timssvideo,,,,,,,,,
Teaching Mathematics in Seven Countries: Results from the TIMSS 1999 Video Study,,"The Third International Mathematics and Science Study (TIMSS) 1999 Video Study examines classroom teaching practices through in-depth analysis of videotapes of eighth-grade mathematics lessons. More ambitious than the earlier TIMSS 1995 Video Study, the TIMSS 1999 Video Study provides rich descriptions of mathematics teaching as it is actually experienced by eighth-grade students in seven countries. In addition to the United States, participating countries include Australia, the Czech Republic, Hong Kong SAR, Japan, the Netherlands, and Switzerland. Students in these countries were generally among the top-performing students on the TIMSS 1995 mathematics assessment and, in particular, outperformed their U.S. counterparts.  This report presents initial results from the study.",,statistical-publication,,2003-03-26,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003013,,,,NCES,,,,Eighth-Graders|Instructional Resources and Practices|International Comparisons|Mathematics|Teachers|instructional practices of|Teaching Practices,,,,,,,,,,,J. Hiebert|R. Gallimore|H. Garnier|K. Bogard Givvin|H. Hollingsworth|J. Jacobs|A. M.Y. Chui|D. Wearne|M. Smith|N. Kersting|A. Manaster|E. Tseng|W. Etterbeek|C. Manaster|P. Gonzales|J. Stigler,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2003/2003013.pdf,,,,,,,,,
